,doi,tweets,archive,subject-area,covid,title,authors,posted
20,10.1101/2021.04.30.441559,27,bioRxiv,Microbiology,True,Neutralization of B.1.1.28 P2 variant with sera of natural SARS-CoV-2 infection and recipients of BBV152 vaccine,"[{'given': 'Gajanan', 'family': 'Sapkal', 'sequence': 'first', 'affiliation': []}, {'given': 'Pragya', 'family': 'Yadav', 'sequence': 'additional', 'affiliation': []}, {'given': 'Raches', 'family': 'Ella', 'sequence': 'additional', 'affiliation': []}, {'given': 'Priya', 'family': 'Abraham', 'sequence': 'additional', 'affiliation': []}, {'given': 'Deepak', 'family': 'Patil', 'sequence': 'additional', 'affiliation': []}, {'given': 'Nivedita', 'family': 'Gupta', 'sequence': 'additional', 'affiliation': []}, {'given': 'Samiran', 'family': 'Panda', 'sequence': 'additional', 'affiliation': []}, {'given': 'Krishna Mohan', 'family': 'V', 'sequence': 'additional', 'affiliation': []}, {'given': 'Balram', 'family': 'Bhargava', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
21,10.1101/2021.04.30.442134,25,bioRxiv,Neuroscience,False,Pupil size dynamics predict dLGN firing mode over a wide range of timescales,"[{'ORCID': 'http://orcid.org/0000-0003-3424-3249', 'authenticated-orcid': False, 'given': 'Davide', 'family': 'Crombie', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-9519-3284', 'authenticated-orcid': False, 'given': 'Martin A', 'family': 'Spacek', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4859-8000', 'authenticated-orcid': False, 'given': 'Christian', 'family': 'Leibold', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6127-7754', 'authenticated-orcid': False, 'given': 'Laura', 'family': 'Busse', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
22,10.1101/2021.04.30.442182,25,bioRxiv,Immunology,True,LY-CoV1404 potently neutralizes SARS-CoV-2 variants,"[{'given': 'Kathryn', 'family': 'Westendorf', 'sequence': 'first', 'affiliation': []}, {'given': 'Stefanie', 'family': 'Žentelis', 'sequence': 'additional', 'affiliation': []}, {'given': 'Denisa', 'family': 'Foster', 'sequence': 'additional', 'affiliation': []}, {'given': 'Peter', 'family': 'Vaillancourt', 'sequence': 'additional', 'affiliation': []}, {'given': 'Matthew', 'family': 'Wiggin', 'sequence': 'additional', 'affiliation': []}, {'given': 'Erica', 'family': 'Lovett', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jörg', 'family': 'Hendle', 'sequence': 'additional', 'affiliation': []}, {'given': 'Anna', 'family': 'Pustilnik', 'sequence': 'additional', 'affiliation': []}, {'given': 'J. Michael', 'family': 'Sauder', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lucas', 'family': 'Kraft', 'sequence': 'additional', 'affiliation': []}, {'given': 'Yuri', 'family': 'Hwang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Robert W.', 'family': 'Siegel', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jinbiao', 'family': 'Chen', 'sequence': 'additional', 'affiliation': []}, {'given': 'Beverly A.', 'family': 'Heinz', 'sequence': 'additional', 'affiliation': []}, {'given': 'Richard E.', 'family': 'Higgs', 'sequence': 'additional', 'affiliation': []}, {'given': 'Nicole', 'family': 'Kalleward', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kevin', 'family': 'Jepson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rodrigo', 'family': 'Goya', 'sequence': 'additional', 'affiliation': []}, {'given': 'Maia A.', 'family': 'Smith', 'sequence': 'additional', 'affiliation': []}, {'given': 'David W.', 'family': 'Collins', 'sequence': 'additional', 'affiliation': []}, {'given': 'Davide', 'family': 'Pellacani', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ping', 'family': 'Xiang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Valentine', 'family': 'de Puyraimond', 'sequence': 'additional', 'affiliation': []}, {'given': 'Marketa', 'family': 'Ricicova', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lindsay', 'family': 'Devorkin', 'sequence': 'additional', 'affiliation': []}, {'given': 'Caitlin', 'family': 'Pritchard', 'sequence': 'additional', 'affiliation': []}, {'given': 'Aoise', 'family': 'O’Neill', 'sequence': 'additional', 'affiliation': []}, {'given': 'Courtney', 'family': 'Cohen', 'sequence': 'additional', 'affiliation': []}, {'given': 'John', 'family': 'Dye', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kathleen I.', 'family': 'Huie', 'sequence': 'additional', 'affiliation': []}, {'given': 'Catherine V.', 'family': 'Badger', 'sequence': 'additional', 'affiliation': []}, {'given': 'Darwyn', 'family': 'Kobasa', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jonathan', 'family': 'Audet', 'sequence': 'additional', 'affiliation': []}, {'given': 'Joshua J.', 'family': 'Freitas', 'sequence': 'additional', 'affiliation': []}, {'given': 'Saleema', 'family': 'Hassanali', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ina', 'family': 'Hughes', 'sequence': 'additional', 'affiliation': []}, {'given': 'Luis', 'family': 'Munoz', 'sequence': 'additional', 'affiliation': []}, {'given': 'Holly C.', 'family': 'Palma', 'sequence': 'additional', 'affiliation': []}, {'given': 'Bharathi', 'family': 'Ramamurthy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Robert W.', 'family': 'Cross', 'sequence': 'additional', 'affiliation': []}, {'given': 'Thomas W.', 'family': 'Geisbert', 'sequence': 'additional', 'affiliation': []}, {'given': 'Viktoriya', 'family': 'Borisevich', 'sequence': 'additional', 'affiliation': []}, {'given': 'Iliana', 'family': 'Lanz', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lisa', 'family': 'Anderson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Payal', 'family': 'Sipahimalani', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kizzmekia S.', 'family': 'Corbett', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lingshu', 'family': 'Wang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Eun Sung', 'family': 'Yang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Yi', 'family': 'Zhang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Wei', 'family': 'Shi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Barney S.', 'family': 'Graham', 'sequence': 'additional', 'affiliation': []}, {'given': 'John R.', 'family': 'Mascola', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tara L.', 'family': 'Fernandez', 'sequence': 'additional', 'affiliation': []}, {'given': 'Carl L.', 'family': 'Hansen', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ester', 'family': 'Falconer', 'sequence': 'additional', 'affiliation': []}, {'given': 'Bryan E.', 'family': 'Jones', 'sequence': 'additional', 'affiliation': []}, {'given': 'Bryan C.', 'family': 'Barnhart', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
23,10.1101/2021.04.30.442123,24,bioRxiv,Evolutionary Biology,False,The adaptive potential of non-heritable somatic mutations,"[{'given': 'Paco', 'family': 'Majic', 'sequence': 'first', 'affiliation': []}, {'given': 'Yagmur E', 'family': 'Erten', 'sequence': 'additional', 'affiliation': []}, {'given': 'Joshua L', 'family': 'Payne', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
24,10.1101/2021.04.29.442079,22,bioRxiv,Microbiology,False,Forward and Reverse Genetic Dissection of Morphogenesis Identifies Filament-Competent Candida auris Strains,"[{'given': 'Darian J.', 'family': 'Santana', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-8901-0154', 'authenticated-orcid': False, 'given': 'Teresa R.', 'family': 'O’Meara', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
25,10.1101/2021.04.29.441936,21,bioRxiv,Neuroscience,False,Age-related declines in neural selectivity manifest differentially during encoding and recognition,"[{'ORCID': 'http://orcid.org/0000-0003-0594-8354', 'authenticated-orcid': False, 'given': 'Claire', 'family': 'Pauley', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-6885-8204', 'authenticated-orcid': False, 'given': 'Verena R.', 'family': 'Sommer', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0936-0630', 'authenticated-orcid': False, 'given': 'Malte', 'family': 'Kobelt', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2115-9534', 'authenticated-orcid': False, 'given': 'Attila', 'family': 'Keresztes', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6399-9996', 'authenticated-orcid': False, 'given': 'Markus', 'family': 'Werkle-Bergner', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-8387-9855', 'authenticated-orcid': False, 'given': 'Myriam C.', 'family': 'Sander', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
26,10.1101/2021.05.02.442364,21,bioRxiv,Neuroscience,False,Basal forebrain cholinergic neurons are part of the threat memory engram,"[{'ORCID': 'http://orcid.org/0000-0001-9893-3025', 'authenticated-orcid': False, 'given': 'Prithviraj', 'family': 'Rajebhosale', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-1736-2350', 'authenticated-orcid': False, 'given': 'Mala R', 'family': 'Ananth', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-9509-9263', 'authenticated-orcid': False, 'given': 'Richard B', 'family': 'Crouse', 'sequence': 'additional', 'affiliation': []}, {'given': 'Li', 'family': 'Jiang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Gretchen', 'family': 'López- Hernández', 'sequence': 'additional', 'affiliation': []}, {'given': 'Christian', 'family': 'Arty', 'sequence': 'additional', 'affiliation': []}, {'given': 'Shaohua', 'family': 'Wang', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-8032-2322', 'authenticated-orcid': False, 'given': 'Alice', 'family': 'Jone', 'sequence': 'additional', 'affiliation': []}, {'given': 'Chongbo', 'family': 'Zhong', 'sequence': 'additional', 'affiliation': []}, {'given': 'Niraj', 'family': 'Desai', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-9166-9919', 'authenticated-orcid': False, 'given': 'Yulong', 'family': 'Li', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4404-1280', 'authenticated-orcid': False, 'given': 'Marina', 'family': 'Picciotto', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-5851-212X', 'authenticated-orcid': False, 'given': 'Lorna W', 'family': 'Role', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-4627-3007', 'authenticated-orcid': False, 'given': 'David A', 'family': 'Talmage', 'sequence': 'additional', 'affiliation': []}]",2021-05-03
27,10.1101/2021.04.30.442214,21,bioRxiv,Bioinformatics,False,"TransposonUltimate: software for transposon classification, annotation and detection","[{'ORCID': 'http://orcid.org/0000-0003-4620-8379', 'authenticated-orcid': False, 'given': 'Kevin', 'family': 'Riehl', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-9561-060X', 'authenticated-orcid': False, 'given': 'Cristian', 'family': 'Riccio', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4450-576X', 'authenticated-orcid': False, 'given': 'Eric Alexander', 'family': 'Miska', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-8895-5239', 'authenticated-orcid': False, 'given': 'Martin', 'family': 'Hemberg', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
28,10.1101/2021.04.28.21256261,21,medRxiv,Epidemiology,True,Aspirin and NSAID use and the risk of COVID-19,"[{'given': 'David A.', 'family': 'Drew', 'sequence': 'first', 'affiliation': []}, {'given': 'Chuan-Guo', 'family': 'Guo', 'sequence': 'additional', 'affiliation': []}, {'given': 'Karla A.', 'family': 'Lee', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5436-4219', 'authenticated-orcid': False, 'given': 'Long H.', 'family': 'Nguyen', 'sequence': 'additional', 'affiliation': []}, {'given': 'Amit D.', 'family': 'Joshi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Chun-Han', 'family': 'Lo', 'sequence': 'additional', 'affiliation': []}, {'given': 'Wenjie', 'family': 'Ma', 'sequence': 'additional', 'affiliation': []}, {'given': 'Raaj S.', 'family': 'Mehta', 'sequence': 'additional', 'affiliation': []}, {'given': 'Sohee', 'family': 'Kwon', 'sequence': 'additional', 'affiliation': []}, {'given': 'Christina M.', 'family': 'Astley', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mingyang', 'family': 'Song', 'sequence': 'additional', 'affiliation': []}, {'given': 'Richard', 'family': 'Davies', 'sequence': 'additional', 'affiliation': []}, {'given': 'Joan', 'family': 'Capdevila', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mary Ni', 'family': 'Lochlainn', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-5753-428X', 'authenticated-orcid': False, 'given': 'Carole H.', 'family': 'Sudre', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4170-1095', 'authenticated-orcid': False, 'given': 'Mark S.', 'family': 'Graham', 'sequence': 'additional', 'affiliation': []}, {'given': 'Thomas', 'family': 'Varsavsky', 'sequence': 'additional', 'affiliation': []}, {'given': 'Maria F.', 'family': 'Gomez', 'sequence': 'additional', 'affiliation': []}, {'given': 'Beatrice', 'family': 'Kennedy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Hugo', 'family': 'Fitipaldi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jonathan', 'family': 'Wolf', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tim D.', 'family': 'Spector', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5694-5340', 'authenticated-orcid': False, 'given': 'Sebastien', 'family': 'Ourselin', 'sequence': 'additional', 'affiliation': []}, {'given': 'Claire J.', 'family': 'Steves', 'sequence': 'additional', 'affiliation': []}, {'given': 'Andrew T.', 'family': 'Chan', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
29,10.1101/2021.05.04.442596,20,bioRxiv,Genomics,False,Telomere-to-telomere genome assembly of Phaeodactylum tricornutum,"[{'ORCID': 'http://orcid.org/0000-0002-4215-9859', 'authenticated-orcid': False, 'given': 'Daniel J.', 'family': 'Giguere', 'sequence': 'first', 'affiliation': []}, {'given': 'Alexander T.', 'family': 'Bahcheli', 'sequence': 'additional', 'affiliation': []}, {'given': 'Samuel S.', 'family': 'Slattery', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rushali R.', 'family': 'Patel', 'sequence': 'additional', 'affiliation': []}, {'given': 'Martin', 'family': 'Flatley', 'sequence': 'additional', 'affiliation': []}, {'given': 'Bogumil J.', 'family': 'Karas', 'sequence': 'additional', 'affiliation': []}, {'given': 'David R.', 'family': 'Edgell', 'sequence': 'additional', 'affiliation': []}, {'given': 'Gregory B.', 'family': 'Gloor', 'sequence': 'additional', 'affiliation': []}]",2021-05-04
30,10.1101/2021.04.29.440076,18,bioRxiv,Evolutionary Biology,False,Life-histories as determinants of infection prevalence for trypanosomatids: A meta-analysis,"[{'ORCID': 'http://orcid.org/0000-0003-0791-8896', 'authenticated-orcid': False, 'given': 'Hawra', 'family': 'Al-Ghafli', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-6643-0562', 'authenticated-orcid': False, 'given': 'Seth M', 'family': 'Barribeau', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
31,10.1101/2021.05.04.442654,18,bioRxiv,Biochemistry,False,Glioblastoma mutations impair ligand discrimination by EGFR,"[{'given': 'Chun', 'family': 'Hu', 'sequence': 'first', 'affiliation': []}, {'suffix': 'II', 'given': 'Carlos A.', 'family': 'Leche', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5060-6081', 'authenticated-orcid': False, 'given': 'Anatoly', 'family': 'Kiyatkin', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-1677-8293', 'authenticated-orcid': False, 'given': 'Steven E.', 'family': 'Stayrook', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7671-5403', 'authenticated-orcid': False, 'given': 'Kathryn M.', 'family': 'Ferguson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-3379-5319', 'authenticated-orcid': False, 'given': 'Mark A.', 'family': 'Lemmon', 'sequence': 'additional', 'affiliation': []}]",2021-05-04
32,10.1101/2021.04.29.441941,17,bioRxiv,Neuroscience,False,Neural correlations are attenuated in the transformation from the frontal cortex to movement,"[{'ORCID': 'http://orcid.org/0000-0001-8750-2182', 'authenticated-orcid': False, 'given': 'Noga', 'family': 'Larry', 'sequence': 'first', 'affiliation': []}, {'given': 'Mati', 'family': 'Joshua', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
33,10.1101/2021.04.30.442132,17,bioRxiv,Genomics,False,Benchmarking metagenomics classifiers on ancient viral DNA: a simulation study,"[{'given': 'Yami Ommar', 'family': 'Arizmendi C&aacuterdenas', 'sequence': 'first', 'affiliation': []}, {'given': 'Samuel', 'family': 'Neuenschwander', 'sequence': 'additional', 'affiliation': []}, {'given': 'Anna-Sapfo', 'family': 'Malaspinas', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
34,10.1101/2021.05.02.442318,16,bioRxiv,Bioinformatics,False,Inferring species compositions of complex fungal communities from long- and short-read sequence data,"[{'ORCID': 'http://orcid.org/0000-0002-6513-9834', 'authenticated-orcid': False, 'given': 'Yiheng', 'family': 'Hu', 'sequence': 'first', 'affiliation': []}, {'given': 'Laszlo', 'family': 'Irinyi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Minh Thuy', 'family': 'Vi Hoang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tavish', 'family': 'Eenjes', 'sequence': 'additional', 'affiliation': []}, {'given': 'Abigail', 'family': 'Graetz', 'sequence': 'additional', 'affiliation': []}, {'given': 'Eric', 'family': 'Stone', 'sequence': 'additional', 'affiliation': []}, {'given': 'Wieland', 'family': 'Meyer', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7194-2922', 'authenticated-orcid': False, 'given': 'Benjamin', 'family': 'Schwessinger', 'sequence': 'additional', 'affiliation': []}, {'given': 'John P.', 'family': 'Rathjen', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
35,10.1101/2021.05.04.442670,16,bioRxiv,Physiology,False,Pannexin 3 deletion reduces fat accumulation and inflammation in a sex-specific manner,"[{'given': 'C.B.', 'family': 'Wakefield', 'sequence': 'first', 'affiliation': []}, {'given': 'V.R.', 'family': 'Lee', 'sequence': 'additional', 'affiliation': []}, {'given': 'D.', 'family': 'Johnston', 'sequence': 'additional', 'affiliation': []}, {'given': 'P.', 'family': 'Boroumand', 'sequence': 'additional', 'affiliation': []}, {'given': 'N.J.', 'family': 'Pillon', 'sequence': 'additional', 'affiliation': []}, {'given': 'S.', 'family': 'Sayedyahossein', 'sequence': 'additional', 'affiliation': []}, {'given': 'R.E.', 'family': 'Sanchez-Pupo', 'sequence': 'additional', 'affiliation': []}, {'given': 'K.J.', 'family': 'Barr', 'sequence': 'additional', 'affiliation': []}, {'given': 'R.', 'family': 'Gros', 'sequence': 'additional', 'affiliation': []}, {'given': 'N.', 'family': 'Borradaile', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-7906-0302', 'authenticated-orcid': False, 'given': 'A.', 'family': 'Klip', 'sequence': 'additional', 'affiliation': []}, {'given': 'F.', 'family': 'Beier', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-4829-5517', 'authenticated-orcid': False, 'given': 'S.', 'family': 'Penuela', 'sequence': 'additional', 'affiliation': []}]",2021-05-04
36,10.1101/2021.05.02.442324,16,bioRxiv,Immunology,False,Protective pan-ebolavirus combination therapy by two multifunctional human antibodies,"[{'given': 'Pavlo', 'family': 'Gilchuk', 'sequence': 'first', 'affiliation': []}, {'given': 'Charles D.', 'family': 'Murin', 'sequence': 'additional', 'affiliation': []}, {'given': 'Robert W.', 'family': 'Cross', 'sequence': 'additional', 'affiliation': []}, {'given': 'Philipp A.', 'family': 'Ilinykh', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kai', 'family': 'Huang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Natalia', 'family': 'Kuzmina', 'sequence': 'additional', 'affiliation': []}, {'given': 'Viktoriya', 'family': 'Borisevich', 'sequence': 'additional', 'affiliation': []}, {'given': 'Krystle N.', 'family': 'Agans', 'sequence': 'additional', 'affiliation': []}, {'given': 'Joan B.', 'family': 'Geisbert', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-5230-1532', 'authenticated-orcid': False, 'given': 'Robert H.', 'family': 'Carnahan', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rachel S.', 'family': 'Nargi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rachel E', 'family': 'Sutton', 'sequence': 'additional', 'affiliation': []}, {'given': 'Naveenchandra', 'family': 'Suryadevara', 'sequence': 'additional', 'affiliation': []}, {'given': 'Seth J.', 'family': 'Zost', 'sequence': 'additional', 'affiliation': []}, {'given': 'Robin G.', 'family': 'Bombardi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alexander', 'family': 'Bukreyev', 'sequence': 'additional', 'affiliation': []}, {'given': 'Thomas W.', 'family': 'Geisbert', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-7153-3769', 'authenticated-orcid': False, 'given': 'Andrew B.', 'family': 'Ward', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0049-1079', 'authenticated-orcid': False, 'suffix': 'Jr.', 'given': 'James E.', 'family': 'Crowe', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
37,10.1101/2021.05.01.442219,16,bioRxiv,Bioinformatics,False,DeepLIIF: Deep Learning-Inferred Multiplex ImmunoFluorescence for IHC Quantification,"[{'given': 'Parmida', 'family': 'Ghahremani', 'sequence': 'first', 'affiliation': []}, {'given': 'Yanyun', 'family': 'Li', 'sequence': 'additional', 'affiliation': []}, {'given': 'Arie', 'family': 'Kaufman', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rami', 'family': 'Vanguri', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7836-4379', 'authenticated-orcid': False, 'given': 'Noah', 'family': 'Greenwald', 'sequence': 'additional', 'affiliation': []}, {'given': 'Michael', 'family': 'Angelo', 'sequence': 'additional', 'affiliation': []}, {'given': 'Travis J.', 'family': 'Hollmann', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-5030-9792', 'authenticated-orcid': False, 'given': 'Saad', 'family': 'Nadeem', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
38,10.1101/2021.04.28.21256237,15,medRxiv,Health Economics,True,Cost-effectiveness of COVID-19 vaccination in low- and middle-income countries,"[{'ORCID': 'http://orcid.org/0000-0003-3506-842X', 'authenticated-orcid': False, 'given': 'Mark J.', 'family': 'Siedner', 'sequence': 'first', 'affiliation': []}, {'given': 'Christopher', 'family': 'Alba', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kieran P.', 'family': 'Fitzmaurice', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rebecca F.', 'family': 'Gilbert', 'sequence': 'additional', 'affiliation': []}, {'given': 'Justine A.', 'family': 'Scott', 'sequence': 'additional', 'affiliation': []}, {'given': 'Fatma M.', 'family': 'Shebl', 'sequence': 'additional', 'affiliation': []}, {'given': 'Andrea', 'family': 'Ciaranello', 'sequence': 'additional', 'affiliation': []}, {'given': 'Krishna P.', 'family': 'Reddy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kenneth A.', 'family': 'Freedberg', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
39,10.1101/2021.05.03.442498,13,bioRxiv,Evolutionary Biology,False,Global Gene Expression Divergence in Spontaneous Mutation Accumulation Lines of Caenorhabditis elegans under Varying Efficiency of Selection,"[{'given': 'Thaddeus C.', 'family': 'Deiss', 'sequence': 'first', 'affiliation': []}, {'given': 'Anke', 'family': 'Konrad', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-1419-1349', 'authenticated-orcid': False, 'given': 'Ulfar', 'family': 'Bergthorsson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-4720-9007', 'authenticated-orcid': False, 'given': 'Vaishali', 'family': 'Katju', 'sequence': 'additional', 'affiliation': []}]",2021-05-04
40,10.1101/2021.05.01.424421,13,bioRxiv,Bioinformatics,False,q-mer analysis: a generalized method for analyzing RNA-Seq data,"[{'ORCID': 'http://orcid.org/0000-0001-6512-7924', 'authenticated-orcid': False, 'given': 'Tatsuma', 'family': 'Shoji', 'sequence': 'first', 'affiliation': []}, {'given': 'Sato', 'family': 'Yoshiharu', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
41,10.1101/2021.05.04.442567,13,bioRxiv,Bioinformatics,False,Biological mechanisms of aging predict age-related disease multimorbidities in patients,"[{'ORCID': 'http://orcid.org/0000-0002-9942-000X', 'authenticated-orcid': False, 'given': 'Helen C', 'family': 'Fraser', 'sequence': 'first', 'affiliation': []}, {'given': 'Valerie', 'family': 'Kuan', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ronja', 'family': 'Johnen', 'sequence': 'additional', 'affiliation': []}, {'given': 'Magdalena', 'family': 'Zwierzyna', 'sequence': 'additional', 'affiliation': []}, {'given': 'Aroon D', 'family': 'Hingorani', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-3891-2123', 'authenticated-orcid': False, 'given': 'Andreas', 'family': 'Beyer', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-9615-0094', 'authenticated-orcid': False, 'given': 'Linda', 'family': 'Partridge', 'sequence': 'additional', 'affiliation': []}]",2021-05-05
42,10.1101/2021.05.05.442780,13,bioRxiv,Microbiology,True,"Prior aerosol infection with lineage A SARS-CoV-2 variant protects hamsters from disease, but not reinfection with B.1.351 SARS-CoV-2 variant","[{'given': 'Kwe Claude', 'family': 'Yinda', 'sequence': 'first', 'affiliation': []}, {'given': 'Julia', 'family': 'Port', 'sequence': 'additional', 'affiliation': []}, {'given': 'Trenton', 'family': 'Bushmaker', 'sequence': 'additional', 'affiliation': []}, {'given': 'Robert', 'family': 'Fischer', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jonathan', 'family': 'Schulz', 'sequence': 'additional', 'affiliation': []}, {'given': 'Myndi', 'family': 'Holbrook', 'sequence': 'additional', 'affiliation': []}, {'given': 'Carl', 'family': 'Shaia', 'sequence': 'additional', 'affiliation': []}, {'given': 'Emmie', 'family': 'de Wit', 'sequence': 'additional', 'affiliation': []}, {'given': 'Neeltje', 'family': 'van Doremalen', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2288-3196', 'authenticated-orcid': False, 'given': 'Vincent', 'family': 'Munster', 'sequence': 'additional', 'affiliation': []}]",2021-05-05
